Composition,Eg (eV),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136
Hg0.7Cd0.3Te,0.35,40.8,41.6,48,80,100.579,106.69,112.411,200.59,3.56667,0.8,5,6,9.33333,12.4,12,16,3.33333,4.8,4,6,0.8,1.4,0,2,53.5667,69,70,90,0.971667,0.935,1.4,1.55,0.949,0.317,1.36,1.49,1.3405,0.017,1.67,2.41,0.971667,0.935,1.4,1.55,0.655667,0.529,0.83,1.11,1.33567,1.593,1.69,2.1,1.281,1.96,1.4,2.38,4.13008,4.59722,3.9187,8.2469,3.40867,4.191,4.33,5.49,1.282,1.702,1.52,2.158,2.14667,2.44,2,4.44,6,6,6,12,1.33333,0,2,2,1.33333,4,0,4,6.66667,0,10,10,1.33333,0,2,2,611.433,444.5,868,1007,3.81333,1.62,5.4,7.2,354.947,558.675,234.25,722.65,671.833,821.845,630.15,1262.95,6.095,3.21,6.24,13.5,0.1221,0.0283,0.139,0.23,6.9847,15.8835,2.295,17.49,41.2938,22.679,52.55,99.57,12.4093,26.69,2.35,96.8,91.1,154.3,61,197,1.00233,1.721,0.67,2.19
CuBr,3.077,32,6,29,35,71.725,16.358,63.546,79.904,4,0,4,4,14,6,11,17,6,4,4,8,1.5,1,1,2,79.5,31,64,95,1.25,0.2,1.15,1.35,1.155,0.03,1.14,1.17,1.62,0.84,1.2,2.04,1.25,0.2,1.15,1.35,1.265,1.11,0.71,1.82,2.43,1.06,1.9,2.96,1.955,1.75,1.08,2.83,5.0358,2.7442,3.6637,6.4079,6.035,3.11,4.48,7.59,2.2675,0.835,1.85,2.685,2.72,5.44,0,5.44,9,4,7,11,1.5,1,1,2,2.5,5,0,5,5,10,0,10,4,6,1,7,942.5,395,745,1140,4.9,3.6,3.1,6.7,811.05,1090.2,265.95,1356.15,1586.05,2508.2,331.95,2840.15,6.04,5.84,3.12,8.96,0.4265,0.093,0.38,0.473,9.168,7.764,5.286,13.05,157.869,284.862,15.438,300.3,200.561,400.878,0.122,401,225,226,112,338,2.355,2.27,1.22,3.49
LuP,1.3,43,56,15,71,102.97,143.993,30.9738,174.967,4.5,3,3,6,9,12,3,15,5,4,3,7,1.5,1,1,2,62,42,41,83,1.375,0.75,1,1.75,1.31,0.5,1.06,1.56,2.305,2.13,1.24,3.37,1.375,0.75,1,1.75,0.655,0.69,0.31,1,1.73,0.92,1.27,2.19,1.76,1.12,1.2,2.32,5.57075,1.2233,4.9591,6.1824,4.36,2.52,3.1,5.62,1.6715,1.163,1.09,2.253,3,0,3,3,4,2,3,5,2,0,2,2,1.5,3,0,3,0.5,1,0,1,3.5,3,2,5,768,488,524,1012,12.75,18.3,3.6,21.9,1126.7,1618.9,317.25,1936.15,2114.15,3122,553.15,3675.15,5.83,8.02,1.82,9.84,0.46,0.62,0.15,0.77,9.6285,17.943,0.657,18.6,184.014,343.771,12.129,355.9,8.3175,16.165,0.235,16.4,371,112,315,427,3.93,1,3.43,4.43
Cu3SbSe4,0.4,91.3333,36,29,51,209.413,68.878,63.546,121.76,11,11,4,5,37.3333,31,11,16,15.3333,16,4,7,3.66667,2,1,2,211,164,64,89,3.36667,3.15,1.15,1.45,3.18333,3.24,1.16,1.4,4.34167,0.98,1.285,2.04,3.36667,3.15,1.15,1.45,1.75667,1.34,0.56,0.9,5.98333,4.5,1.9,2.55,5.18,6.92,1.08,2.54,13.0101,12.0529,3.6637,5.761,13.95,10.12,4.48,5.89,5.75667,4.186,1.85,2.434,9.10667,8.32,2,5.44,20.6667,28,5,11,4.33333,3,1,2,6.33333,16,0,4,13.3333,40,0,10,9.66667,21,1,6,2277.67,1529,745,941,13.9667,4.9,3.8,6.7,2311.07,2107.85,490.15,1356.15,4858.73,4687.85,958.15,2840.15,17.5767,7.72,4.79,8.96,0.876667,0.93,0.21,0.38,28.5987,6.906,6.694,19.87,376.28,750.1,37.7,300.3,411.82,1194.84,2.04,401,728,106,227,338,7.68667,0.63,2.46,3.49
ZnO,3.436,19,22,8,30,40.6947,49.3906,15.9994,65.39,3,2,2,4,14,4,12,16,5.5,3,4,7,1.5,1,1,2,78,18,69,87,0.975,0.75,0.6,1.35,0.99,0.52,0.73,1.25,1.1725,1.415,0.465,1.88,0.975,0.75,0.6,1.35,0.975,0.47,0.74,1.21,2.545,1.79,1.65,3.44,2.38,1.88,1.44,3.32,6.0609,4.6188,3.7515,8.3703,5.995,3.09,4.45,7.54,2.6,2.02,1.59,3.61,2.22,4.44,0,4.44,9,6,6,12,2,0,2,2,2,4,0,4,5,10,0,10,4,4,2,6,1110,408,906,1314,3.5965,5.607,0.793,6.4,373.75,638,54.75,692.75,634.65,1089,90.15,1179.15,3.56571,7.12857,0.00143,7.13,0.655,0.53,0.39,0.92,3.77229,7.09941,0.22259,7.322,59.355,111.89,3.4099,115.3,58.0134,115.973,0.02674,116,190,118,131,249,1.985,1.27,1.35,2.62
PtSb2,0.08,90,24,51,78,219.3,48.44,121.76,195.08,8,4,5,6,20,20,10,15,8,8,4,6,2,0,1,2,116.5,107,63,85,2.125,1.55,1.35,1.45,2.05,1.5,1.3,1.4,3.115,0.83,1.765,2.7,2.125,1.55,1.35,1.45,1.27,1.06,0.74,0.9,3.19,1.82,2.05,2.28,3.095,2.37,1.91,2.14,8.8557,2.2698,4.9953,7.7208,7.65,4.1,4.85,5.6,2.844,2.248,1.72,1.984,5.89,0.22,3,5.78,10,0,5,10,2.5,3,1,2,3,6,0,3,14.5,11,9,10,2.5,3,1,2,1268,800,834,868,9.85,6.7,6.5,6.6,1926.72,236.85,904.15,2045.15,4273.23,346.15,2223.15,4100.15,17.39,8.02,6.69,21.4,0.275,0.29,0.13,0.21,29.67,20.14,19.6,19.87,332.14,355.72,77.14,510,60.1,23,24.3,71.6,544.5,41,262,565,5.67,0.34,2.75,5.84
ZnIn2S4,2.68,64,34,16,49,141.097,101.372,32.066,114.818,8.66667,2,3,5,34,52,12,16,14,24,4,7,2.66667,2,1,2,190.333,283,69,88,2.81667,0.9,1,1.55,2.73667,1.2,1.02,1.44,3.46,0.3,1.1,2.05,2.81667,0.9,1,1.55,1.44667,0.16,0.43,0.94,5.17667,8.67,1.65,2.58,5.1,9.16,1.44,2.65,11.8674,19.6317,3.7515,5.8458,11.8433,18.68,3.1,6.22,5.086,8.766,1.59,2.589,6.44,3.56,2,4.44,14,6,3,12,4.66667,6,2,2,6,16,0,4,10,40,0,10,10,20,2,6,2007.33,2884,558,1000,12.4667,7.8,2.9,9.7,1032.02,851.05,385.95,692.75,2918.95,1834.9,717.85,2353.15,10.01,6.34,2.07,7.31,1.23,2.38,0.23,0.71,6.906,0.452,1.7175,7.322,205.833,423.8,9.8,231.5,93.4253,114.924,0.269,116,577.667,985,131,279,5.93,10.05,1.35,2.85
K2Cd3Te4,2.26,130,170,19,52,308.61,432.203,39.0983,127.6,14.3333,12,4,5,34,62,1,16,12.6667,22,1,6,1.33333,4,0,1,192,354,3,90,4.88333,1.2,1.4,2.2,4.64667,1.38,1.36,2.03,6.90167,0.7,1.67,3.69,4.88333,1.2,1.4,2.2,3.41333,0.28,0.92,1.52,5.03667,6.76,0.82,2.1,5.10667,7.92,0.8,2.38,13.0332,16.1908,2.7882,5.4418,13.2633,17.12,2.42,5.49,4.88667,7.164,0.734,2.158,7.77333,11.32,1,4.44,20.6667,34,1,12,5.33333,4,1,2,5.33333,16,0,4,23.3333,40,0,10,5.33333,6,1,2,2306,2638,419,869,43.4667,64.8,5.5,43.4,1781.85,2217.8,336.4,722.65,3410.85,2985.5,1033.15,1262.95,17.5433,24.23,0.86,8.65,0.996667,0.7,0.2,0.75,31.068,65.292,2.334,17.49,222.883,88.51,52.55,99.57,168.2,195.4,2.35,102.4,434.667,608,90,197,4.70267,6.892,0.934,2.19
K4Sn3Ce3S14,2.46,156,50,16,58,345.448,28.579,32.066,140.115,22.75,24,3,6,69.75,220,1,16,31.5,94,1,7,6.5,9,0,3,382.25,1220,3,88,8.175,5.2,1,2.2,7.895,6.16,1.02,2.03,12.325,1.9,1.1,4.5,8.175,5.2,1,2.2,4.405,0.06,0.43,1.52,12.16,32.84,0.82,2.58,12.31,33.9,0.8,2.65,30.123,70.6884,2.7882,5.8458,29.74,77.4,2.42,6.22,11.981,33.31,0.734,2.589,13.4,8,1,4,27.25,80,1,6,11,24,1,2,15.5,56,0,4,8.25,30,0,10,25,80,1,6,4851.25,12324,419,1000,81.525,133,2.9,43.4,2869.45,1867.85,336.4,1071.15,8100.6,540.55,717.85,3530.15,18.5825,18.49,0.86,7.31,3.54775,2.43,0.19,0.75,17.712,2.958,1.7175,7.029,646.52,1104.8,9.8,414,161.841,405.834,0.269,102.4,1607.25,897,90,419,16.504,9.224,0.934,4.32
Pb6B2CrO12,1.8,155.5,482,5,82,377.203,1221.58,10.811,207.2,17,12,2,6,77,186,6,16,32.5,80,4,7,5.5,10,1,2,430.75,995,49,87,5.275,3.6,0.6,1.8,5.1,0.06,0.73,1.47,5.5375,3.14,0.465,2.44,5.275,3.6,0.6,1.8,6.18,8.44,0.25,1.49,14.455,39.62,1.66,3.44,14.29,36.04,1.9,3.32,35.3369,97.1723,3.2713,8.3703,31.545,86.76,3.72,7.54,15.049,41.67,1.65,3.61,6.605,5.78,0,5.78,27,66,3,6,10.25,23,1,2,15.5,48,0,4,16.25,60,0,10,25.75,71,1,6,5579.75,15115,653,1314,16.979,2.084,0.793,11.6,2773.84,4047.3,54.75,2352.15,5438.04,1863.35,90.15,2945.15,20.0718,68.3828,0.00143,11.4,3.5775,1.26,0.13,1.02,37.1913,97.7289,0.22259,50.2,607.705,938.481,3.4099,489.7,89.9552,93.3791,0.02674,93.7,1426.75,30,196,573,14.835,0.56,2.03,5.81
